bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,distance
386096,50.573486,8.700008,2024-11-06 14:46:02.058841,50.580418,8.664761,2024-11-06 15:02:02.715077,0 days 00:16:00.656236,3097.0200000000004
386103,50.580418,8.664761,2024-11-06 14:53:01.449360,50.585137,8.671877,2024-11-06 14:57:02.125797,0 days 00:04:00.676437,1115.235
386111,50.571078,8.674602,2024-11-06 14:19:02.050784,50.579946,8.67848,2024-11-06 14:29:01.591779,0 days 00:09:59.540995,1476.1790000000003
386117,50.589469,8.681104,2024-11-06 13:45:01.685340,50.585137,8.671877,2024-11-06 13:53:02.086127,0 days 00:08:00.400787,890.7979999999999
386118,50.571078,8.674602,2024-11-06 14:22:02.219019,50.564109,8.677573,2024-11-06 14:27:01.659576,0 days 00:04:59.440557,923.1890000000002
386122,50.565264,8.687189,2024-11-06 14:18:02.578317,50.580418,8.664761,2024-11-06 14:33:01.663582,0 days 00:14:59.085265,2712.5400000000004
386152,50.580418,8.664761,2024-11-06 13:57:01.606965,50.585137,8.671877,2024-11-06 14:02:01.430059,0 days 00:04:59.823094,1115.235
386152,50.585137,8.671877,2024-11-06 14:51:01.560219,50.587148,8.682158,2024-11-06 14:58:01.534617,0 days 00:06:59.974398,1076.7350000000001
386155,50.551067,8.618794,2024-11-06 14:14:02.549016,50.551049,8.618805,2024-11-06 14:15:01.911516,0 days 00:00:59.362500,0.0
386155,50.551049,8.618805,2024-11-06 14:15:01.911516,50.551031,8.6188,2024-11-06 14:16:01.307319,0 days 00:00:59.395803,0.0
386165,50.576775,8.694906,2024-11-06 14:41:01.891032,50.585584,8.684702,2024-11-06 14:49:01.672045,0 days 00:07:59.781013,1635.7370000000003
386170,50.582722,8.673988,2024-11-06 14:38:01.437227,50.588102,8.677491,2024-11-06 14:43:02.642827,0 days 00:05:01.205600,804.943
386171,50.585137,8.671877,2024-11-06 14:12:04.066075,50.586222,8.670232,2024-11-06 14:13:01.545078,0 days 00:00:57.479003,178.75799999999998
386171,50.586222,8.670232,2024-11-06 14:13:01.545078,50.585137,8.671877,2024-11-06 14:14:02.549016,0 days 00:01:01.003938,546.285
386172,50.580418,8.664761,2024-11-06 13:50:01.590937,50.564109,8.677573,2024-11-06 14:10:01.876547,0 days 00:20:00.285610,2531.134
386174,50.579946,8.67848,2024-11-06 14:13:01.545078,50.578991,8.664509,2024-11-06 14:22:02.219019,0 days 00:09:00.673941,1296.7609999999995
386174,50.578991,8.664509,2024-11-06 14:29:01.591779,50.585137,8.671877,2024-11-06 14:36:01.530245,0 days 00:06:59.938466,1235.095
386180,50.580753,8.695099,2024-11-06 14:21:01.817042,50.579946,8.67848,2024-11-06 14:31:01.400382,0 days 00:09:59.583340,1598.9040000000005
386182,50.590141,8.684306,2024-11-06 14:42:02.554515,50.585239,8.699665,2024-11-06 14:57:02.125797,0 days 00:14:59.571282,1798.4160000000006
386183,50.582722,8.673988,2024-11-06 14:43:02.642827,50.585137,8.671877,2024-11-06 14:54:01.833736,0 days 00:10:59.190909,448.91100000000006
386184,50.573486,8.700008,2024-11-06 14:41:01.891032,50.580418,8.664761,2024-11-06 14:58:01.534617,0 days 00:16:59.643585,3097.0200000000004
386185,50.585204,8.71319,2024-11-06 14:24:02.002680,50.582722,8.673988,2024-11-06 14:44:02.607128,0 days 00:20:00.604448,3260.2660000000014
386186,50.581759,8.670118,2024-11-06 14:39:01.933420,50.588132,8.675346,2024-11-06 14:47:01.613764,0 days 00:07:59.680344,844.28
386190,50.578991,8.664509,2024-11-06 14:16:01.307319,50.588971,8.662469,2024-11-06 14:27:01.659576,0 days 00:11:00.352257,1819.5090000000005
386191,50.573486,8.700008,2024-11-06 14:26:02.225311,50.579946,8.67848,2024-11-06 14:34:02.078296,0 days 00:07:59.852985,1978.767
386191,50.579946,8.67848,2024-11-06 14:38:01.437227,50.570486,8.665858,2024-11-06 14:50:02.151459,0 days 00:12:00.714232,1894.486
386196,50.579946,8.67848,2024-11-06 13:45:01.685340,50.585137,8.671877,2024-11-06 13:54:01.453919,0 days 00:08:59.768579,985.1950000000002
386199,50.579946,8.67848,2024-11-06 14:47:01.613764,50.576775,8.694906,2024-11-06 14:54:01.833736,0 days 00:07:00.219972,1463.6449999999995
386302,50.576216,8.69397,2024-11-06 14:19:02.050784,50.580418,8.664761,2024-11-06 14:34:02.078296,0 days 00:15:00.027512,2586.415000000001
386303,50.585584,8.684702,2024-11-06 14:41:01.891032,50.580418,8.664761,2024-11-06 14:50:02.151459,0 days 00:09:00.260427,1966.3270000000002
91035,50.588102,8.677491,2024-11-06 13:45:01.685340,50.58064,8.677648,2024-11-06 13:52:01.402741,0 days 00:06:59.717401,1237.5250000000003
91035,50.58064,8.677648,2024-11-06 13:52:01.402741,50.580631,8.677308,2024-11-06 13:53:02.086127,0 days 00:01:00.683386,0.0
91035,50.580631,8.677308,2024-11-06 13:56:02.199816,50.580729,8.677332,2024-11-06 13:57:01.606965,0 days 00:00:59.407149,71.89999999999999
91041,50.571078,8.674602,2024-11-06 13:58:02.002347,50.582722,8.673988,2024-11-06 14:11:02.356864,0 days 00:13:00.354517,1798.548999999999
91078,50.579946,8.67848,2024-11-06 14:27:01.659576,50.588971,8.662469,2024-11-06 14:38:01.437227,0 days 00:10:59.777651,1756.5730000000005
91106,50.587148,8.682158,2024-11-06 14:12:04.066075,50.582129,8.663713,2024-11-06 14:20:01.434163,0 days 00:07:57.368088,2207.1130000000007
91106,50.582129,8.663713,2024-11-06 14:20:01.434163,50.581152,8.664379,2024-11-06 14:21:01.817042,0 days 00:01:00.382879,1428.671
91106,50.581152,8.664379,2024-11-06 14:31:01.400382,50.576661,8.692147,2024-11-06 14:44:02.607128,0 days 00:13:01.206746,2404.9030000000002
91106,50.576661,8.692147,2024-11-06 14:46:02.058841,50.585239,8.699665,2024-11-06 14:55:03.040396,0 days 00:09:00.981555,1457.7189999999998
91133,50.589469,8.681104,2024-11-06 14:24:02.002680,50.573486,8.700008,2024-11-06 14:42:02.554515,0 days 00:18:00.551835,2602.0060000000003
91133,50.573486,8.700008,2024-11-06 14:42:02.554515,50.580418,8.664761,2024-11-06 14:57:02.125797,0 days 00:14:59.571282,3097.0200000000004
91149,50.585716,8.657575,2024-11-06 14:07:01.525149,50.58453,8.680142,2024-11-06 14:19:02.050784,0 days 00:12:00.525635,1956.3839999999998
91155,50.578991,8.664509,2024-11-06 14:50:02.151459,50.585137,8.671877,2024-11-06 14:56:01.440613,0 days 00:05:59.289154,1235.095
91165,50.588952,8.672911,2024-11-06 14:41:01.891032,50.587148,8.682158,2024-11-06 14:46:02.058841,0 days 00:05:00.167809,845.7250000000003
