trip_date,bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time
2024-11-15,386000,50.589469,8.681104,2024-11-15 23:19:03.262612,50.58453,8.680142,2024-11-15 23:24:01.567509
2024-11-15,386001,50.585137,8.671877,2024-11-15 00:49:01.701415,50.585584,8.684702,2024-11-15 00:54:01.625546
2024-11-15,386001,50.585584,8.684702,2024-11-15 00:54:01.625546,50.587148,8.682158,2024-11-15 00:55:02.132967
2024-11-15,386001,50.587148,8.682158,2024-11-15 15:26:01.514706,50.582722,8.673988,2024-11-15 15:35:02.591968
2024-11-15,386001,50.582722,8.673988,2024-11-15 20:51:03.619933,50.581152,8.664379,2024-11-15 20:58:01.676727
2024-11-15,386001,50.581152,8.664379,2024-11-15 21:06:02.369196,50.588102,8.677491,2024-11-15 21:13:02.312257
2024-11-15,386001,50.588102,8.677491,2024-11-15 23:08:02.19498,50.585239,8.699665,2024-11-15 23:24:01.567509
2024-11-15,386001,50.585239,8.699665,2024-11-15 23:59:01.493409,50.588952,8.672911,2024-11-16 00:13:01.807498
2024-11-15,386002,50.587726,8.668395,2024-11-15 19:36:02.171126,50.564109,8.677573,2024-11-15 19:57:02.318195
2024-11-15,386003,50.579946,8.67848,2024-11-15 12:17:01.412384,50.573486,8.700008,2024-11-15 12:27:01.540355
2024-11-15,386003,50.573486,8.700008,2024-11-15 12:53:01.770365,50.580753,8.695099,2024-11-15 13:04:02.241817
2024-11-15,386003,50.580753,8.695099,2024-11-15 16:07:02.019089,50.576661,8.692147,2024-11-15 16:13:01.496564
2024-11-15,386003,50.576661,8.692147,2024-11-15 17:15:02.007447,50.582722,8.673988,2024-11-15 17:28:01.596313
2024-11-15,386003,50.582722,8.673988,2024-11-15 18:10:01.615825,50.576661,8.692147,2024-11-15 18:22:01.484655
2024-11-15,386003,50.576661,8.692147,2024-11-15 20:02:02.282878,50.585137,8.671877,2024-11-15 20:16:04.69802
2024-11-15,386003,50.585137,8.671877,2024-11-15 23:44:02.348577,50.579769,8.663442,2024-11-15 23:49:01.432113
2024-11-15,386003,50.579769,8.663442,2024-11-15 23:49:01.432113,50.580418,8.664761,2024-11-15 23:50:02.043858
2024-11-15,386004,50.581759,8.670118,2024-11-15 16:01:02.183391,50.587726,8.668395,2024-11-15 16:12:01.933859
2024-11-15,386010,50.592037,8.66542,2024-11-15 07:55:01.734173,50.58453,8.680142,2024-11-15 08:03:02.349373
2024-11-15,386010,50.58453,8.680142,2024-11-15 08:50:01.548964,50.587148,8.682158,2024-11-15 08:53:01.653535
2024-11-15,386011,50.585204,8.71319,2024-11-15 08:33:04.13218,50.581435,8.696279,2024-11-15 08:47:01.911693
2024-11-15,386011,50.581435,8.696279,2024-11-15 17:45:02.141465,50.58453,8.680142,2024-11-15 17:54:02.447366
2024-11-15,386011,50.58453,8.680142,2024-11-15 18:08:02.377903,50.585137,8.671877,2024-11-15 18:49:01.68798
2024-11-15,386011,50.585137,8.671877,2024-11-15 18:50:02.299578,50.582533,8.670426,2024-11-15 18:53:01.955132
2024-11-15,386011,50.582533,8.670426,2024-11-15 18:53:01.955132,50.582529,8.670443,2024-11-15 18:54:01.517253
2024-11-15,386011,50.582529,8.670443,2024-11-15 18:54:01.517253,50.582556,8.670457,2024-11-15 18:55:03.438281
2024-11-15,386011,50.582556,8.670457,2024-11-15 18:55:03.438281,50.58256,8.670452,2024-11-15 18:56:02.000329
2024-11-15,386011,50.58256,8.670452,2024-11-15 18:57:02.057313,50.581759,8.670118,2024-11-15 18:58:01.618051
2024-11-15,386012,50.587726,8.668395,2024-11-15 08:50:01.548964,50.589469,8.681104,2024-11-15 08:59:05.032807
2024-11-15,386012,50.589469,8.681104,2024-11-15 10:26:01.734683,50.587148,8.682158,2024-11-15 10:38:02.210151
2024-11-15,386012,50.587148,8.682158,2024-11-15 10:46:01.773287,50.583876,8.680159,2024-11-15 10:51:01.471783
2024-11-15,386012,50.583876,8.680159,2024-11-15 10:51:01.471783,50.58453,8.680142,2024-11-15 10:52:02.033151
2024-11-15,386012,50.58453,8.680142,2024-11-15 10:56:02.31807,50.587148,8.682158,2024-11-15 11:00:01.606122
2024-11-15,386012,50.587148,8.682158,2024-11-15 11:00:01.606122,50.587726,8.668395,2024-11-15 11:09:02.339368
2024-11-15,386013,50.588102,8.677491,2024-11-15 02:52:01.732135,50.579067,8.678012,2024-11-15 03:03:01.848316
2024-11-15,386013,50.579067,8.678012,2024-11-15 03:03:01.848316,50.579084,8.678005,2024-11-15 03:04:02.379199
2024-11-15,386013,50.579084,8.678005,2024-11-15 03:06:01.460264,50.579382,8.677954,2024-11-15 03:07:01.98054
2024-11-15,386013,50.579382,8.677954,2024-11-15 04:54:01.785574,50.579662,8.675665,2024-11-15 04:55:02.288075
2024-11-15,386013,50.579662,8.675665,2024-11-15 04:55:02.288075,50.579946,8.67848,2024-11-15 04:56:01.798052
2024-11-15,386013,50.579946,8.67848,2024-11-15 11:42:01.681893,50.580418,8.664761,2024-11-15 11:50:02.446596
2024-11-15,386013,50.580418,8.664761,2024-11-15 12:47:01.560952,50.57525,8.697667,2024-11-15 13:02:02.031207
2024-11-15,386013,50.57525,8.697667,2024-11-15 13:48:02.331745,50.573486,8.700008,2024-11-15 13:51:02.458531
2024-11-15,386014,50.582722,8.673988,2024-11-15 00:44:03.880262,50.564109,8.677573,2024-11-15 01:05:02.15736
2024-11-15,386014,50.564109,8.677573,2024-11-15 08:00:01.631223,50.579946,8.67848,2024-11-15 08:16:01.874345
2024-11-15,386014,50.579946,8.67848,2024-11-15 08:51:02.573207,50.576661,8.692147,2024-11-15 08:58:01.56217
2024-11-15,386014,50.576661,8.692147,2024-11-15 12:23:02.403641,50.579946,8.67848,2024-11-15 12:31:01.47941
2024-11-15,386014,50.579946,8.67848,2024-11-15 12:38:02.348133,50.580753,8.695099,2024-11-15 12:45:01.418862
2024-11-15,386014,50.580753,8.695099,2024-11-15 16:08:01.611359,50.576661,8.692147,2024-11-15 16:13:01.496564
2024-11-15,386014,50.576661,8.692147,2024-11-15 19:14:02.628981,50.588952,8.672911,2024-11-15 19:30:02.114554
2024-11-15,386014,50.588952,8.672911,2024-11-15 19:48:01.719631,50.579946,8.67848,2024-11-15 19:57:02.318195
2024-11-15,386015,50.589469,8.681104,2024-11-15 06:32:02.126148,50.574348,8.660046,2024-11-15 06:44:02.028496
2024-11-15,386015,50.574348,8.660046,2024-11-15 08:03:02.349373,50.580418,8.664761,2024-11-15 08:10:02.331165
2024-11-15,386015,50.580418,8.664761,2024-11-15 08:22:01.689183,50.576216,8.69397,2024-11-15 08:33:04.13218
2024-11-15,386015,50.576216,8.69397,2024-11-15 16:01:02.183391,50.579946,8.67848,2024-11-15 16:09:02.192101
2024-11-15,386015,50.579946,8.67848,2024-11-15 16:43:01.769494,50.580418,8.664761,2024-11-15 16:50:03.291681
2024-11-15,386015,50.580418,8.664761,2024-11-15 16:56:02.611799,50.579946,8.67848,2024-11-15 17:02:02.353124
2024-11-15,386015,50.579946,8.67848,2024-11-15 17:35:01.761681,50.581435,8.696279,2024-11-15 17:46:02.374268
