trip_date,bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time
2024-11-19,386015,50.579946,8.67848,2024-11-19 16:03:02.022759,50.582722,8.673988,2024-11-19 16:07:01.71942
2024-11-19,386015,50.582722,8.673988,2024-11-19 18:42:02.226772,50.585716,8.657575,2024-11-19 18:53:01.706804
2024-11-19,386015,50.585716,8.657575,2024-11-19 20:09:01.464298,50.579946,8.67848,2024-11-19 20:24:01.74469
2024-11-19,386016,50.585692,8.67637,2024-11-19 07:24:02.083901,50.570978,8.672389,2024-11-19 10:03:01.441784
2024-11-19,386016,50.570978,8.672389,2024-11-19 15:51:02.112849,50.578991,8.664509,2024-11-19 15:58:02.040041
2024-11-19,386016,50.578991,8.664509,2024-11-19 16:39:02.001875,50.571078,8.674602,2024-11-19 16:47:02.27602
2024-11-19,386016,50.571078,8.674602,2024-11-19 18:00:01.760252,50.579946,8.67848,2024-11-19 18:09:02.135743
2024-11-19,386016,50.579946,8.67848,2024-11-19 18:43:01.80663,50.585137,8.671877,2024-11-19 18:49:01.996545
2024-11-19,386016,50.585137,8.671877,2024-11-19 18:53:01.706804,50.580418,8.664761,2024-11-19 18:58:01.649986
2024-11-19,386016,50.580418,8.664761,2024-11-19 19:28:01.546943,50.579946,8.67848,2024-11-19 19:37:01.638406
2024-11-19,386016,50.579946,8.67848,2024-11-19 19:53:02.568869,50.58453,8.680142,2024-11-19 20:11:01.594144
2024-11-19,386016,50.58453,8.680142,2024-11-19 21:37:01.865748,50.585584,8.684702,2024-11-19 21:50:01.510154
2024-11-19,386017,50.572309,8.682867,2024-11-19 08:45:02.073207,50.580753,8.695099,2024-11-19 08:57:01.783129
2024-11-19,386017,50.580753,8.695099,2024-11-19 17:11:01.615428,50.59863,8.692892,2024-11-19 17:31:02.270433
2024-11-19,386019,50.579946,8.67848,2024-11-19 07:26:02.361106,50.585584,8.684702,2024-11-19 07:33:01.945924
2024-11-19,386019,50.585584,8.684702,2024-11-19 09:01:01.86474,50.576775,8.694906,2024-11-19 09:09:02.038522
2024-11-19,386019,50.576775,8.694906,2024-11-19 10:59:01.890127,50.589469,8.681104,2024-11-19 11:11:01.960497
2024-11-19,386019,50.589469,8.681104,2024-11-19 11:38:03.86064,50.58453,8.680142,2024-11-19 11:43:01.71215
2024-11-19,386020,50.564109,8.677573,2024-11-19 04:47:01.800972,50.578991,8.664509,2024-11-19 04:57:01.473664
2024-11-19,386020,50.578991,8.664509,2024-11-19 08:53:01.583118,50.573486,8.700008,2024-11-19 09:06:03.160023
2024-11-19,386020,50.573486,8.700008,2024-11-19 12:04:01.700578,50.581152,8.664379,2024-11-19 12:18:01.434972
2024-11-19,386024,50.587726,8.668395,2024-11-19 06:46:02.248323,50.587148,8.682158,2024-11-19 06:54:01.43678
2024-11-19,386025,50.581152,8.664379,2024-11-19 07:02:01.69665,50.587148,8.682158,2024-11-19 07:12:03.600191
2024-11-19,386025,50.587148,8.682158,2024-11-19 15:43:02.213238,50.580418,8.664761,2024-11-19 15:54:01.836589
2024-11-19,386025,50.580418,8.664761,2024-11-19 19:28:01.546943,50.58266,8.70796,2024-11-19 19:48:01.448758
2024-11-19,386025,50.58266,8.70796,2024-11-19 20:00:03.683774,50.58453,8.680142,2024-11-19 20:14:02.163102
2024-11-19,386025,50.58453,8.680142,2024-11-19 22:19:02.383237,50.588952,8.672911,2024-11-19 22:27:01.573292
2024-11-19,386030,50.564109,8.677573,2024-11-19 03:32:03.123623,50.578991,8.664509,2024-11-19 03:42:01.387782
2024-11-19,386030,50.578991,8.664509,2024-11-19 12:20:01.620639,50.574348,8.660046,2024-11-19 12:25:01.989886
2024-11-19,386030,50.574348,8.660046,2024-11-19 14:52:02.146657,50.576216,8.69397,2024-11-19 15:05:02.095088
2024-11-19,386030,50.576216,8.69397,2024-11-19 16:34:01.929085,50.580418,8.664761,2024-11-19 16:49:02.460121
