bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,date,distance,segments
386024,50.580324,8.677611,2025-02-11T00:17:26,50.579946,8.67848,2025-02-11T00:18:27,61.130077,2025-02-11,108.732,"[[50.5802586, 8.6776509, '2025-02-11T00:17:26'], [50.5800026, 8.6779503, '2025-02-11T00:17:36.188346167'], [50.5799354, 8.6780354, '2025-02-11T00:17:46.376692333'], [50.5797765, 8.6782396, '2025-02-11T00:17:56.565038500'], [50.5796941, 8.6783396, '2025-02-11T00:18:06.753384667'], [50.5797714, 8.6784985, '2025-02-11T00:18:16.941730833'], [50.5798525, 8.6786714, '2025-02-11T00:18:27.130077']]"
386177,50.564109,8.677573,2025-02-11T00:40:45,50.565991,8.677133,2025-02-11T00:46:49,364.521319,2025-02-11,304.958,"[[50.5641104, 8.6777644, '2025-02-11T00:40:45'], [50.5644554, 8.677376, '2025-02-11T00:41:15.376776583'], [50.5646543, 8.6778297, '2025-02-11T00:41:45.753553167'], [50.5648226, 8.6777362, '2025-02-11T00:42:16.130329750'], [50.5652081, 8.6775259, '2025-02-11T00:42:46.507106332'], [50.5652576, 8.6775039, '2025-02-11T00:43:16.883882917'], [50.5654365, 8.6774224, '2025-02-11T00:43:47.260659500'], [50.5655747, 8.6773652, '2025-02-11T00:44:17.637436083'], [50.5657675, 8.6772797, '2025-02-11T00:44:48.014212667'], [50.5657302, 8.6769403, '2025-02-11T00:45:18.390989250'], [50.5657292, 8.6768652, '2025-02-11T00:45:48.767765833'], [50.5660076, 8.6768523, '2025-02-11T00:46:19.144542417'], [50.5660424, 8.6770384, '2025-02-11T00:46:49.521319']]"
386177,50.565991,8.677133,2025-02-11T00:46:49,50.567147,8.67677,2025-02-11T00:47:50,60.770111,2025-02-11,378.238,"[[50.5660424, 8.6770384, '2025-02-11T00:46:49'], [50.5660076, 8.6768523, '2025-02-11T00:47:01.154022200'], [50.566677, 8.6766625, '2025-02-11T00:47:13.308044400'], [50.5666904, 8.6768904, '2025-02-11T00:47:25.462066600'], [50.5679878, 8.6763623, '2025-02-11T00:47:37.616088800'], [50.5671958, 8.67717, '2025-02-11T00:47:49.770111']]"
386177,50.567147,8.67677,2025-02-11T00:47:50,50.569604,8.675805,2025-02-11T00:48:51,60.748265,2025-02-11,300.58500000000004,"[[50.5671958, 8.67717, '2025-02-11T00:47:50'], [50.5679878, 8.6763623, '2025-02-11T00:48:00.124710833'], [50.568147, 8.6762945, '2025-02-11T00:48:10.249421667'], [50.5682293, 8.67626, '2025-02-11T00:48:20.374132500'], [50.5687826, 8.6760281, '2025-02-11T00:48:30.498843333'], [50.5690461, 8.6759269, '2025-02-11T00:48:40.623554167'], [50.5695424, 8.675718, '2025-02-11T00:48:50.748265']]"
386177,50.569604,8.675805,2025-02-11T00:48:51,50.571933,8.674345,2025-02-11T00:49:52,61.008018,2025-02-11,310.663,"[[50.5695424, 8.675718, '2025-02-11T00:48:51'], [50.5698503, 8.6756377, '2025-02-11T00:48:56.546183455'], [50.5702633, 8.6753283, '2025-02-11T00:49:02.092366909'], [50.5707632, 8.6750089, '2025-02-11T00:49:07.638550364'], [50.5708953, 8.6749198, '2025-02-11T00:49:13.184733818'], [50.5709771, 8.6748607, '2025-02-11T00:49:18.730917273'], [50.570885, 8.6743751, '2025-02-11T00:49:24.277100727'], [50.5709919, 8.6743258, '2025-02-11T00:49:29.823284182'], [50.5710217, 8.6744855, '2025-02-11T00:49:35.369467636'], [50.571136, 8.6744377, '2025-02-11T00:49:40.915651091'], [50.5712265, 8.6743836, '2025-02-11T00:49:46.461834545'], [50.5716922, 8.6741375, '2025-02-11T00:49:52.008018']]"
386177,50.571933,8.674345,2025-02-11T00:49:52,50.573049,8.673587,2025-02-11T00:50:52,60.779958,2025-02-11,402.952,"[[50.5716922, 8.6741375, '2025-02-11T00:49:52'], [50.5716546, 8.673936, '2025-02-11T00:50:00.682851143'], [50.5716106, 8.6737117, '2025-02-11T00:50:09.365702286'], [50.571583, 8.6734145, '2025-02-11T00:50:18.048553429'], [50.5720147, 8.6729332, '2025-02-11T00:50:26.731404571'], [50.5718923, 8.6720163, '2025-02-11T00:50:35.414255714'], [50.5727279, 8.6716833, '2025-02-11T00:50:44.097106857'], [50.5730716, 8.6732978, '2025-02-11T00:50:52.779958']]"
386177,50.573049,8.673587,2025-02-11T00:50:52,50.576618,8.670011,2025-02-11T00:51:53,60.732513,2025-02-11,470.03499999999997,"[[50.5730716, 8.6732978, '2025-02-11T00:50:52'], [50.5732985, 8.6730178, '2025-02-11T00:50:56.048834200'], [50.5733994, 8.6728801, '2025-02-11T00:51:00.097668400'], [50.5735242, 8.6726936, '2025-02-11T00:51:04.146502600'], [50.5736099, 8.6725653, '2025-02-11T00:51:08.195336800'], [50.5736739, 8.6724786, '2025-02-11T00:51:12.244171'], [50.5737727, 8.6723377, '2025-02-11T00:51:16.293005200'], [50.5739407, 8.6721367, '2025-02-11T00:51:20.341839400'], [50.5741115, 8.6719421, '2025-02-11T00:51:24.390673600'], [50.5744028, 8.6716131, '2025-02-11T00:51:28.439507800'], [50.5745404, 8.6714577, '2025-02-11T00:51:32.488342'], [50.574729, 8.6712463, '2025-02-11T00:51:36.537176200'], [50.5754761, 8.6707024, '2025-02-11T00:51:40.586010400'], [50.5762906, 8.6702596, '2025-02-11T00:51:44.634844600'], [50.5764514, 8.6700739, '2025-02-11T00:51:48.683678800'], [50.5766146, 8.6698446, '2025-02-11T00:51:52.732513']]"
386177,50.576618,8.670011,2025-02-11T00:51:53,50.57992,8.6749,2025-02-11T00:52:54,60.73422,2025-02-11,531.69,"[[50.5766146, 8.6698446, '2025-02-11T00:51:53'], [50.5773547, 8.6709852, '2025-02-11T00:51:59.073422'], [50.5775783, 8.6712687, '2025-02-11T00:52:05.146844'], [50.5776455, 8.6713526, '2025-02-11T00:52:11.220266'], [50.577958, 8.6717428, '2025-02-11T00:52:17.293688'], [50.5782464, 8.6721102, '2025-02-11T00:52:23.367110'], [50.5787757, 8.6727694, '2025-02-11T00:52:29.440532'], [50.5789614, 8.6730361, '2025-02-11T00:52:35.513954'], [50.5792189, 8.6735634, '2025-02-11T00:52:41.587376'], [50.5795916, 8.6743144, '2025-02-11T00:52:47.660798'], [50.5799628, 8.6750686, '2025-02-11T00:52:53.734220']]"
386177,50.57992,8.6749,2025-02-11T00:53:55,50.583,8.679906,2025-02-11T00:54:55,60.823887,2025-02-11,514.882,"[[50.5799628, 8.6750686, '2025-02-11T00:53:55'], [50.5801706, 8.6754981, '2025-02-11T00:53:58.577875706'], [50.5801825, 8.6755228, '2025-02-11T00:54:02.155751412'], [50.5801972, 8.6755532, '2025-02-11T00:54:05.733627118'], [50.5802853, 8.6757353, '2025-02-11T00:54:09.311502824'], [50.5803886, 8.675949, '2025-02-11T00:54:12.889378529'], [50.5804042, 8.6759812, '2025-02-11T00:54:16.467254235'], [50.5804408, 8.6760568, '2025-02-11T00:54:20.045129941'], [50.5805554, 8.6762903, '2025-02-11T00:54:23.623005647'], [50.5809294, 8.6770688, '2025-02-11T00:54:27.200881353'], [50.5809792, 8.677169, '2025-02-11T00:54:30.778757059'], [50.5811922, 8.6776123, '2025-02-11T00:54:34.356632765'], [50.581345, 8.6779237, '2025-02-11T00:54:37.934508471'], [50.5815575, 8.6783646, '2025-02-11T00:54:41.512384175'], [50.5818745, 8.6790157, '2025-02-11T00:54:45.090259882'], [50.5820003, 8.6792653, '2025-02-11T00:54:48.668135588'], [50.5824505, 8.6801602, '2025-02-11T00:54:52.246011294'], [50.5829222, 8.6799291, '2025-02-11T00:54:55.823887']]"
386177,50.583,8.679906,2025-02-11T00:58:58,50.588132,8.675346,2025-02-11T00:59:59,60.754684,2025-02-11,737.0069999999998,"[[50.5829222, 8.6799291, '2025-02-11T00:58:58'], [50.5830576, 8.6796628, '2025-02-11T00:59:00.893080190'], [50.5831663, 8.6795637, '2025-02-11T00:59:03.786160381'], [50.5840111, 8.6783895, '2025-02-11T00:59:06.679240571'], [50.5840833, 8.6783053, '2025-02-11T00:59:09.572320762'], [50.584547, 8.6777738, '2025-02-11T00:59:12.465400952'], [50.5846823, 8.6776249, '2025-02-11T00:59:15.358481143'], [50.5847788, 8.6775196, '2025-02-11T00:59:18.251561333'], [50.5849701, 8.6773071, '2025-02-11T00:59:21.144641524'], [50.5851507, 8.6770924, '2025-02-11T00:59:24.037721714'], [50.5852697, 8.6769442, '2025-02-11T00:59:26.930801905'], [50.5855224, 8.6766463, '2025-02-11T00:59:29.823882095'], [50.5855882, 8.6765624, '2025-02-11T00:59:32.716962286'], [50.5858903, 8.6762115, '2025-02-11T00:59:35.610042476'], [50.5860767, 8.6759847, '2025-02-11T00:59:38.503122666'], [50.5864426, 8.6755058, '2025-02-11T00:59:41.396202857'], [50.58667, 8.6747595, '2025-02-11T00:59:44.289283048'], [50.5869519, 8.6747749, '2025-02-11T00:59:47.182363238'], [50.5871884, 8.6748582, '2025-02-11T00:59:50.075443429'], [50.5874352, 8.6749576, '2025-02-11T00:59:52.968523619'], [50.5878431, 8.6751367, '2025-02-11T00:59:55.861603810'], [50.5881866, 8.6753294, '2025-02-11T00:59:58.754684']]"
