bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,date,distance,segments
91140,50.579747,8.663736,2025-01-22T00:31:58,50.581435,8.696279,2025-01-22T00:48:12,974.377176,2025-01-22,2713.853,"[[50.5797967, 8.6637995, '2025-01-22T00:31:58'], [50.579933, 8.6639806, '2025-01-22T00:32:11.167259135'], [50.5799748, 8.6638931, '2025-01-22T00:32:24.334518270'], [50.5799925, 8.663917, '2025-01-22T00:32:37.501777405'], [50.5803822, 8.66443, '2025-01-22T00:32:50.669036541'], [50.5804093, 8.6644626, '2025-01-22T00:33:03.836295676'], [50.5806046, 8.6646893, '2025-01-22T00:33:17.003554811'], [50.5809885, 8.6651658, '2025-01-22T00:33:30.170813946'], [50.5811638, 8.6653758, '2025-01-22T00:33:43.338073081'], [50.5811853, 8.6654033, '2025-01-22T00:33:56.505332216'], [50.5812321, 8.6654611, '2025-01-22T00:34:09.672591351'], [50.5813834, 8.6657269, '2025-01-22T00:34:22.839850486'], [50.5811532, 8.6662801, '2025-01-22T00:34:36.007109622'], [50.5810005, 8.6665855, '2025-01-22T00:34:49.174368757'], [50.5809898, 8.6666084, '2025-01-22T00:35:02.341627892'], [50.5808884, 8.6668114, '2025-01-22T00:35:15.508887027'], [50.5808749, 8.666839, '2025-01-22T00:35:28.676146162'], [50.5806841, 8.6672001, '2025-01-22T00:35:41.843405297'], [50.5803911, 8.6677252, '2025-01-22T00:35:55.010664432'], [50.5803586, 8.6677869, '2025-01-22T00:36:08.177923568'], [50.5802769, 8.6679503, '2025-01-22T00:36:21.345182703'], [50.5811967, 8.6692149, '2025-01-22T00:36:34.512441838'], [50.5817988, 8.6699706, '2025-01-22T00:36:47.679700973'], [50.5818087, 8.6704211, '2025-01-22T00:37:00.846960108'], [50.5816562, 8.6709338, '2025-01-22T00:37:14.014219243'], [50.581634, 8.6711747, '2025-01-22T00:37:27.181478378'], [50.5816754, 8.6716856, '2025-01-22T00:37:40.348737514'], [50.5818191, 8.6721887, '2025-01-22T00:37:53.515996649'], [50.5818574, 8.6723062, '2025-01-22T00:38:06.683255784'], [50.5819564, 8.6726085, '2025-01-22T00:38:19.850514919'], [50.5820836, 8.6729967, '2025-01-22T00:38:33.017774054'], [50.582221, 8.673412, '2025-01-22T00:38:46.185033189'], [50.5823327, 8.6737516, '2025-01-22T00:38:59.352292324'], [50.5825524, 8.6744123, '2025-01-22T00:39:12.519551459'], [50.5825674, 8.6744628, '2025-01-22T00:39:25.686810595'], [50.5827766, 8.6750906, '2025-01-22T00:39:38.854069730'], [50.5832674, 8.6766562, '2025-01-22T00:39:52.021328865'], [50.5835333, 8.6773789, '2025-01-22T00:40:05.188588'], [50.5835838, 8.6774954, '2025-01-22T00:40:18.355847135'], [50.5840111, 8.6783895, '2025-01-22T00:40:31.523106270'], [50.5833358, 8.6792165, '2025-01-22T00:40:44.690365405'], [50.5831396, 8.6794953, '2025-01-22T00:40:57.857624541'], [50.5830576, 8.6796628, '2025-01-22T00:41:11.024883676'], [50.5829222, 8.6799291, '2025-01-22T00:41:24.192142811'], [50.582886, 8.6803867, '2025-01-22T00:41:37.359401946'], [50.5829652, 8.6808347, '2025-01-22T00:41:50.526661081'], [50.5830561, 8.6812353, '2025-01-22T00:42:03.693920216'], [50.5830967, 8.6814087, '2025-01-22T00:42:16.861179351'], [50.5831189, 8.6815094, '2025-01-22T00:42:30.028438486'], [50.5832217, 8.6820029, '2025-01-22T00:42:43.195697622'], [50.5832706, 8.6822478, '2025-01-22T00:42:56.362956757'], [50.5833605, 8.6826919, '2025-01-22T00:43:09.530215891'], [50.583464, 8.6832376, '2025-01-22T00:43:22.697475027'], [50.5834993, 8.6834253, '2025-01-22T00:43:35.864734162'], [50.5835535, 8.6837136, '2025-01-22T00:43:49.031993296'], [50.583598, 8.6839533, '2025-01-22T00:44:02.199252432'], [50.5836387, 8.6841989, '2025-01-22T00:44:15.366511568'], [50.5835986, 8.685062, '2025-01-22T00:44:28.533770702'], [50.5835806, 8.6852188, '2025-01-22T00:44:41.701029838'], [50.5833016, 8.6883219, '2025-01-22T00:44:54.868288973'], [50.5832076, 8.6895145, '2025-01-22T00:45:08.035548108'], [50.5831261, 8.6903731, '2025-01-22T00:45:21.202807243'], [50.5830924, 8.6907078, '2025-01-22T00:45:34.370066378'], [50.5830403, 8.6914006, '2025-01-22T00:45:47.537325514'], [50.583003, 8.691928, '2025-01-22T00:46:00.704584649'], [50.5829627, 8.6923131, '2025-01-22T00:46:13.871843784'], [50.5828754, 8.6926883, '2025-01-22T00:46:27.039102919'], [50.5828022, 8.6928795, '2025-01-22T00:46:40.206362054'], [50.5827223, 8.6930739, '2025-01-22T00:46:53.373621189'], [50.5826306, 8.6933004, '2025-01-22T00:47:06.540880324'], [50.582265, 8.6942684, '2025-01-22T00:47:19.708139459'], [50.582137, 8.6946196, '2025-01-22T00:47:32.875398595'], [50.5820043, 8.6949846, '2025-01-22T00:47:46.042657730'], [50.5816152, 8.6959889, '2025-01-22T00:47:59.209916865'], [50.5814097, 8.6962764, '2025-01-22T00:48:12.377176']]"
386196,50.58453,8.680142,2025-01-22T00:35:00,50.585137,8.671877,2025-01-22T00:40:06,305.262901,2025-01-22,841.0949999999998,"[[50.5844574, 8.6802382, '2025-01-22T00:35:00'], [50.5843851, 8.6800729, '2025-01-22T00:35:13.272300043'], [50.5845542, 8.679455, '2025-01-22T00:35:26.544600087'], [50.5846631, 8.6792155, '2025-01-22T00:35:39.816900130'], [50.584703, 8.679125, '2025-01-22T00:35:53.089200174'], [50.5840833, 8.6783053, '2025-01-22T00:36:06.361500217'], [50.584547, 8.6777738, '2025-01-22T00:36:19.633800261'], [50.5846823, 8.6776249, '2025-01-22T00:36:32.906100304'], [50.5847788, 8.6775196, '2025-01-22T00:36:46.178400348'], [50.5849701, 8.6773071, '2025-01-22T00:36:59.450700391'], [50.5847823, 8.6770899, '2025-01-22T00:37:12.723000435'], [50.5848877, 8.676589, '2025-01-22T00:37:25.995300478'], [50.5849614, 8.6761298, '2025-01-22T00:37:39.267600522'], [50.5850044, 8.6758527, '2025-01-22T00:37:52.539900565'], [50.5850704, 8.6753049, '2025-01-22T00:38:05.812200609'], [50.5850804, 8.6751558, '2025-01-22T00:38:19.084500652'], [50.5850767, 8.6749411, '2025-01-22T00:38:32.356800696'], [50.5850595, 8.6742324, '2025-01-22T00:38:45.629100739'], [50.5850971, 8.6737343, '2025-01-22T00:38:58.901400783'], [50.5851279, 8.6732111, '2025-01-22T00:39:12.173700826'], [50.5843352, 8.6722414, '2025-01-22T00:39:25.446000870'], [50.5847366, 8.6718143, '2025-01-22T00:39:38.718300913'], [50.5849066, 8.6715423, '2025-01-22T00:39:51.990600957'], [50.5850526, 8.6718473, '2025-01-22T00:40:05.262901']]"
91279,50.580418,8.664761,2025-01-22T02:25:29,50.579946,8.67848,2025-01-22T02:34:35,546.766873,2025-01-22,1308.99,"[[50.5803143, 8.6646412, '2025-01-22T02:25:29'], [50.5803588, 8.6645584, '2025-01-22T02:25:42.669171825'], [50.5804093, 8.6644626, '2025-01-22T02:25:56.338343650'], [50.5806046, 8.6646893, '2025-01-22T02:26:10.007515475'], [50.5809885, 8.6651658, '2025-01-22T02:26:23.676687300'], [50.5811638, 8.6653758, '2025-01-22T02:26:37.345859125'], [50.5811853, 8.6654033, '2025-01-22T02:26:51.015030950'], [50.5812321, 8.6654611, '2025-01-22T02:27:04.684202775'], [50.5813834, 8.6657269, '2025-01-22T02:27:18.353374600'], [50.5811532, 8.6662801, '2025-01-22T02:27:32.022546425'], [50.5810005, 8.6665855, '2025-01-22T02:27:45.691718250'], [50.5809898, 8.6666084, '2025-01-22T02:27:59.360890075'], [50.5808884, 8.6668114, '2025-01-22T02:28:13.030061900'], [50.5808749, 8.666839, '2025-01-22T02:28:26.699233725'], [50.5806841, 8.6672001, '2025-01-22T02:28:40.368405550'], [50.5803911, 8.6677252, '2025-01-22T02:28:54.037577375'], [50.5803586, 8.6677869, '2025-01-22T02:29:07.706749200'], [50.5802769, 8.6679503, '2025-01-22T02:29:21.375921025'], [50.5801418, 8.6680462, '2025-01-22T02:29:35.045092850'], [50.5799745, 8.6680465, '2025-01-22T02:29:48.714264675'], [50.5799412, 8.6686171, '2025-01-22T02:30:02.383436500'], [50.5799202, 8.668659, '2025-01-22T02:30:16.052608325'], [50.5796122, 8.6693612, '2025-01-22T02:30:29.721780150'], [50.5798435, 8.6696188, '2025-01-22T02:30:43.390951975'], [50.5798707, 8.6696507, '2025-01-22T02:30:57.060123800'], [50.5798658, 8.669778, '2025-01-22T02:31:10.729295625'], [50.5798485, 8.6698666, '2025-01-22T02:31:24.398467450'], [50.5793567, 8.6713415, '2025-01-22T02:31:38.067639275'], [50.5790506, 8.6720617, '2025-01-22T02:31:51.736811100'], [50.5787757, 8.6727694, '2025-01-22T02:32:05.405982925'], [50.5789614, 8.6730361, '2025-01-22T02:32:19.075154750'], [50.5787784, 8.6734429, '2025-01-22T02:32:32.744326575'], [50.5781061, 8.6751084, '2025-01-22T02:32:46.413498400'], [50.5784057, 8.6757327, '2025-01-22T02:33:00.082670225'], [50.5786971, 8.6763002, '2025-01-22T02:33:13.751842050'], [50.5788877, 8.67669, '2025-01-22T02:33:27.421013875'], [50.5793998, 8.6777184, '2025-01-22T02:33:41.090185700'], [50.5796528, 8.67825, '2025-01-22T02:33:54.759357525'], [50.5796941, 8.6783396, '2025-01-22T02:34:08.428529350'], [50.5797714, 8.6784985, '2025-01-22T02:34:22.097701175'], [50.5798525, 8.6786714, '2025-01-22T02:34:35.766873']]"
386152,50.562927,8.647997,2025-01-22T02:48:46,50.564267,8.646384,2025-01-22T02:49:47,60.91302,2025-01-22,556.6519999999999,"[[50.562783, 8.6479819, '2025-01-22T02:48:46'], [50.5631135, 8.6482414, '2025-01-22T02:48:54.701860'], [50.563651, 8.6485274, '2025-01-22T02:49:03.403720'], [50.5645913, 8.6493414, '2025-01-22T02:49:12.105580'], [50.5651096, 8.6498842, '2025-01-22T02:49:20.807440'], [50.5654381, 8.6490505, '2025-01-22T02:49:29.509300'], [50.5648346, 8.6481196, '2025-01-22T02:49:38.211160'], [50.5643662, 8.6473019, '2025-01-22T02:49:46.913020']]"
91109,50.582722,8.673988,2025-01-22T03:02:57,50.580418,8.664761,2025-01-22T03:10:05,427.60819,2025-01-22,948.8939999999999,"[[50.5828029, 8.6739286, '2025-01-22T03:02:57'], [50.5825879, 8.6733128, '2025-01-22T03:03:10.793812581'], [50.5821662, 8.6723473, '2025-01-22T03:03:24.587625161'], [50.5820241, 8.6721114, '2025-01-22T03:03:38.381437742'], [50.5819333, 8.6722236, '2025-01-22T03:03:52.175250323'], [50.581897, 8.6721154, '2025-01-22T03:04:05.969062903'], [50.581755, 8.6716381, '2025-01-22T03:04:19.762875484'], [50.581758, 8.670943, '2025-01-22T03:04:33.556688065'], [50.5820813, 8.6702388, '2025-01-22T03:04:47.350500645'], [50.5820088, 8.6700682, '2025-01-22T03:05:01.144313226'], [50.581829, 8.6698466, '2025-01-22T03:05:14.938125806'], [50.5815249, 8.6694719, '2025-01-22T03:05:28.731938387'], [50.5812435, 8.6691226, '2025-01-22T03:05:42.525750968'], [50.5807719, 8.6685297, '2025-01-22T03:05:56.319563548'], [50.5802769, 8.6679503, '2025-01-22T03:06:10.113376129'], [50.5803586, 8.6677869, '2025-01-22T03:06:23.907188710'], [50.5803911, 8.6677252, '2025-01-22T03:06:37.701001290'], [50.5806841, 8.6672001, '2025-01-22T03:06:51.494813871'], [50.5808749, 8.666839, '2025-01-22T03:07:05.288626452'], [50.5808884, 8.6668114, '2025-01-22T03:07:19.082439032'], [50.5809898, 8.6666084, '2025-01-22T03:07:32.876251613'], [50.5810005, 8.6665855, '2025-01-22T03:07:46.670064194'], [50.5811532, 8.6662801, '2025-01-22T03:08:00.463876774'], [50.5813834, 8.6657269, '2025-01-22T03:08:14.257689355'], [50.5812321, 8.6654611, '2025-01-22T03:08:28.051501935'], [50.5811853, 8.6654033, '2025-01-22T03:08:41.845314516'], [50.5811638, 8.6653758, '2025-01-22T03:08:55.639127097'], [50.5809885, 8.6651658, '2025-01-22T03:09:09.432939677'], [50.5806046, 8.6646893, '2025-01-22T03:09:23.226752258'], [50.5804093, 8.6644626, '2025-01-22T03:09:37.020564839'], [50.5803588, 8.6645584, '2025-01-22T03:09:50.814377419'], [50.5803143, 8.6646412, '2025-01-22T03:10:04.608190']]"
91266,50.564109,8.677573,2025-01-22T03:12:06,50.585584,8.684702,2025-01-22T03:29:20,1033.920595,2025-01-22,2941.207999999999,"[[50.5641104, 8.6777644, '2025-01-22T03:12:06'], [50.5644554, 8.677376, '2025-01-22T03:12:21.204714632'], [50.5646543, 8.6778297, '2025-01-22T03:12:36.409429265'], [50.5648226, 8.6777362, '2025-01-22T03:12:51.614143897'], [50.5652081, 8.6775259, '2025-01-22T03:13:06.818858529'], [50.5652576, 8.6775039, '2025-01-22T03:13:22.023573162'], [50.5654365, 8.6774224, '2025-01-22T03:13:37.228287794'], [50.5655747, 8.6773652, '2025-01-22T03:13:52.433002426'], [50.5657675, 8.6772797, '2025-01-22T03:14:07.637717059'], [50.5665641, 8.6769437, '2025-01-22T03:14:22.842431691'], [50.5666904, 8.6768904, '2025-01-22T03:14:38.047146324'], [50.5679878, 8.6763623, '2025-01-22T03:14:53.251860956'], [50.568147, 8.6762945, '2025-01-22T03:15:08.456575588'], [50.5682293, 8.67626, '2025-01-22T03:15:23.661290221'], [50.5687826, 8.6760281, '2025-01-22T03:15:38.866004853'], [50.5690461, 8.6759269, '2025-01-22T03:15:54.070719485'], [50.5695424, 8.675718, '2025-01-22T03:16:09.275434118'], [50.5698503, 8.6756377, '2025-01-22T03:16:24.480148750'], [50.5702633, 8.6753283, '2025-01-22T03:16:39.684863382'], [50.5707632, 8.6750089, '2025-01-22T03:16:54.889578015'], [50.5708953, 8.6749198, '2025-01-22T03:17:10.094292647'], [50.5715946, 8.6753288, '2025-01-22T03:17:25.299007279'], [50.572348, 8.6759926, '2025-01-22T03:17:40.503721912'], [50.5726806, 8.6762106, '2025-01-22T03:17:55.708436544'], [50.5733049, 8.6773183, '2025-01-22T03:18:10.913151176'], [50.5740207, 8.6776203, '2025-01-22T03:18:26.117865809'], [50.574501, 8.6766597, '2025-01-22T03:18:41.322580441'], [50.5746772, 8.6768856, '2025-01-22T03:18:56.527295074'], [50.5753613, 8.677799, '2025-01-22T03:19:11.732009706'], [50.57573, 8.6782892, '2025-01-22T03:19:26.936724338'], [50.5758148, 8.6783891, '2025-01-22T03:19:42.141438971'], [50.5760879, 8.6786648, '2025-01-22T03:19:57.346153603'], [50.5764677, 8.6790252, '2025-01-22T03:20:12.550868235'], [50.5770407, 8.6795942, '2025-01-22T03:20:27.755582868'], [50.5771154, 8.6796681, '2025-01-22T03:20:42.960297500'], [50.5772119, 8.6797605, '2025-01-22T03:20:58.165012132'], [50.5772331, 8.6797818, '2025-01-22T03:21:13.369726765'], [50.5773853, 8.6799337, '2025-01-22T03:21:28.574441397'], [50.5778107, 8.6803512, '2025-01-22T03:21:43.779156029'], [50.5779382, 8.6807034, '2025-01-22T03:21:58.983870662'], [50.5781464, 8.6805312, '2025-01-22T03:22:14.188585294'], [50.5784445, 8.6804352, '2025-01-22T03:22:29.393299926'], [50.5785988, 8.6807518, '2025-01-22T03:22:44.598014559'], [50.5787006, 8.6809563, '2025-01-22T03:22:59.802729191'], [50.5788554, 8.6812673, '2025-01-22T03:23:15.007443824'], [50.5789634, 8.6814769, '2025-01-22T03:23:30.212158456'], [50.5790024, 8.6815394, '2025-01-22T03:23:45.416873088'], [50.5791797, 8.6817071, '2025-01-22T03:24:00.621587721'], [50.579257, 8.6817729, '2025-01-22T03:24:15.826302353'], [50.5795047, 8.6819865, '2025-01-22T03:24:31.031016985'], [50.5797399, 8.6821846, '2025-01-22T03:24:46.235731618'], [50.5799813, 8.6824319, '2025-01-22T03:25:01.440446250'], [50.5800997, 8.6825778, '2025-01-22T03:25:16.645160882'], [50.5803323, 8.6828834, '2025-01-22T03:25:31.849875515'], [50.5813913, 8.6838111, '2025-01-22T03:25:47.054590147'], [50.582237, 8.6843594, '2025-01-22T03:26:02.259304779'], [50.5829399, 8.6848251, '2025-01-22T03:26:17.464019412'], [50.5835806, 8.6852188, '2025-01-22T03:26:32.668734044'], [50.5835986, 8.685062, '2025-01-22T03:26:47.873448676'], [50.583745, 8.6847587, '2025-01-22T03:27:03.078163309'], [50.5839869, 8.6846373, '2025-01-22T03:27:18.282877941'], [50.5841423, 8.6845679, '2025-01-22T03:27:33.487592574'], [50.584484, 8.6844058, '2025-01-22T03:27:48.692307206'], [50.5850532, 8.6840808, '2025-01-22T03:28:03.897021838'], [50.5854719, 8.6834065, '2025-01-22T03:28:19.101736471'], [50.5856649, 8.6836959, '2025-01-22T03:28:34.306451103'], [50.5858714, 8.6841152, '2025-01-22T03:28:49.511165734'], [50.5857775, 8.6842694, '2025-01-22T03:29:04.715880368'], [50.5855025, 8.6847389, '2025-01-22T03:29:19.920595']]"
386099,50.573486,8.700008,2025-01-22T04:03:48,50.581759,8.670118,2025-01-22T04:14:57,668.98229,2025-01-22,2715.52,"[[50.5734173, 8.6998994, '2025-01-22T04:03:48'], [50.5733833, 8.6998201, '2025-01-22T04:04:07.675949706'], [50.5735158, 8.6996633, '2025-01-22T04:04:27.351899412'], [50.5729758, 8.6986734, '2025-01-22T04:04:47.027849118'], [50.5730357, 8.6983155, '2025-01-22T04:05:06.703798824'], [50.5744591, 8.6959967, '2025-01-22T04:05:26.379748529'], [50.5745027, 8.6959452, '2025-01-22T04:05:46.055698235'], [50.5747595, 8.6951468, '2025-01-22T04:06:05.731647941'], [50.5757318, 8.6914771, '2025-01-22T04:06:25.407597647'], [50.576027, 8.6903575, '2025-01-22T04:06:45.083547353'], [50.5762007, 8.6897155, '2025-01-22T04:07:04.759497059'], [50.5764627, 8.6888946, '2025-01-22T04:07:24.435446765'], [50.5769575, 8.687413, '2025-01-22T04:07:44.111396471'], [50.5786238, 8.6832385, '2025-01-22T04:08:03.787346176'], [50.5781122, 8.681622, '2025-01-22T04:08:23.463295882'], [50.5779382, 8.6807034, '2025-01-22T04:08:43.139245588'], [50.5781464, 8.6805312, '2025-01-22T04:09:02.815195294'], [50.5784445, 8.6804352, '2025-01-22T04:09:22.491145'], [50.5782886, 8.680059, '2025-01-22T04:09:42.167094706'], [50.5782773, 8.6800001, '2025-01-22T04:10:01.843044412'], [50.5782345, 8.679844, '2025-01-22T04:10:21.518994117'], [50.5779667, 8.6776055, '2025-01-22T04:10:41.194943824'], [50.5784057, 8.6757327, '2025-01-22T04:11:00.870893529'], [50.5789475, 8.6750693, '2025-01-22T04:11:20.546843235'], [50.5794294, 8.6745002, '2025-01-22T04:11:40.222792941'], [50.5795916, 8.6743144, '2025-01-22T04:11:59.898742647'], [50.5792189, 8.6735634, '2025-01-22T04:12:19.574692353'], [50.5794665, 8.6730203, '2025-01-22T04:12:39.250642058'], [50.5797115, 8.6724184, '2025-01-22T04:12:58.926591765'], [50.5801109, 8.6714175, '2025-01-22T04:13:18.602541471'], [50.5804891, 8.6706405, '2025-01-22T04:13:38.278491176'], [50.5805278, 8.670561, '2025-01-22T04:13:57.954440882'], [50.5810061, 8.6695933, '2025-01-22T04:14:17.630390588'], [50.5811967, 8.6692149, '2025-01-22T04:14:37.306340294'], [50.5817988, 8.6699706, '2025-01-22T04:14:56.982290']]"
386153,50.585137,8.671877,2025-01-22T04:08:52,50.580418,8.664761,2025-01-22T04:14:57,364.591785,2025-01-22,960.4740000000002,"[[50.5850526, 8.6718473, '2025-01-22T04:08:52'], [50.5854673, 8.6713926, '2025-01-22T04:09:06.583671400'], [50.5858343, 8.6707378, '2025-01-22T04:09:21.167342800'], [50.5857932, 8.6706718, '2025-01-22T04:09:35.751014200'], [50.585719, 8.6705088, '2025-01-22T04:09:50.334685600'], [50.5855671, 8.6703632, '2025-01-22T04:10:04.918357'], [50.5854655, 8.6701342, '2025-01-22T04:10:19.502028400'], [50.58518, 8.6695912, '2025-01-22T04:10:34.085699800'], [50.584926, 8.6698917, '2025-01-22T04:10:48.669371200'], [50.5842575, 8.6698992, '2025-01-22T04:11:03.253042600'], [50.5838414, 8.6687818, '2025-01-22T04:11:17.836714'], [50.583821, 8.6687239, '2025-01-22T04:11:32.420385400'], [50.5830158, 8.6676962, '2025-01-22T04:11:47.004056800'], [50.5827557, 8.6673703, '2025-01-22T04:12:01.587728200'], [50.5826248, 8.6672063, '2025-01-22T04:12:16.171399600'], [50.5823711, 8.6668991, '2025-01-22T04:12:30.755071'], [50.5818566, 8.6662279, '2025-01-22T04:12:45.338742400'], [50.5813834, 8.6657269, '2025-01-22T04:12:59.922413800'], [50.5812321, 8.6654611, '2025-01-22T04:13:14.506085200'], [50.5811853, 8.6654033, '2025-01-22T04:13:29.089756600'], [50.5811638, 8.6653758, '2025-01-22T04:13:43.673428'], [50.5809885, 8.6651658, '2025-01-22T04:13:58.257099399'], [50.5806046, 8.6646893, '2025-01-22T04:14:12.840770800'], [50.5804093, 8.6644626, '2025-01-22T04:14:27.424442200'], [50.5803588, 8.6645584, '2025-01-22T04:14:42.008113600'], [50.5803143, 8.6646412, '2025-01-22T04:14:56.591785']]"
91002,50.581759,8.670118,2025-01-22T04:43:20,50.5826,8.671943,2025-01-22T04:44:20,60.746686,2025-01-22,600.048,"[[50.5817988, 8.6699706, '2025-01-22T04:43:20'], [50.5818087, 8.6704211, '2025-01-22T04:43:23.573334471'], [50.5816562, 8.6709338, '2025-01-22T04:43:27.146668941'], [50.581634, 8.6711747, '2025-01-22T04:43:30.720003412'], [50.5816754, 8.6716856, '2025-01-22T04:43:34.293337882'], [50.5818191, 8.6721887, '2025-01-22T04:43:37.866672353'], [50.5818574, 8.6723062, '2025-01-22T04:43:41.440006824'], [50.5819564, 8.6726085, '2025-01-22T04:43:45.013341294'], [50.5820836, 8.6729967, '2025-01-22T04:43:48.586675765'], [50.582221, 8.673412, '2025-01-22T04:43:52.160010235'], [50.5823327, 8.6737516, '2025-01-22T04:43:55.733344706'], [50.5825524, 8.6744123, '2025-01-22T04:43:59.306679176'], [50.5826544, 8.6743313, '2025-01-22T04:44:02.880013647'], [50.5823136, 8.6733243, '2025-01-22T04:44:06.453348118'], [50.5822354, 8.6730919, '2025-01-22T04:44:10.026682588'], [50.5819333, 8.6722236, '2025-01-22T04:44:13.600017059'], [50.5820241, 8.6721114, '2025-01-22T04:44:17.173351529'], [50.5823036, 8.6718611, '2025-01-22T04:44:20.746686']]"
91002,50.5826,8.671943,2025-01-22T04:44:20,50.582396,8.67056,2025-01-22T04:45:21,60.758957,2025-01-22,260.698,"[[50.5823036, 8.6718611, '2025-01-22T04:44:20'], [50.5820241, 8.6721114, '2025-01-22T04:44:28.679851'], [50.5819333, 8.6722236, '2025-01-22T04:44:37.359702'], [50.581897, 8.6721154, '2025-01-22T04:44:46.039553'], [50.581755, 8.6716381, '2025-01-22T04:44:54.719404'], [50.581758, 8.670943, '2025-01-22T04:45:03.399255'], [50.5820813, 8.6702388, '2025-01-22T04:45:12.079106'], [50.5822685, 8.6705084, '2025-01-22T04:45:20.758957']]"
