id,id,bikeId,timestamp,latitude,longitude,prev_id,next_id,prev_lat,prev_lon,next_lat,next_lon,end_timestamp,mode
20,20,0AlNRdW7x4DqB3PuVqVOpOnVbQ1PG9KM,2024-11-05 15:25:58.716826,50.585137,8.671877,0AlNRdW7x4DqB3MCVay0xynVbQ1PG9KM,0AlNRdW7x4DqB3PuVqVOpOnVbQ1PG9KM,50.580418,8.664761,50.585137,8.671877,2024-11-05 20:51:02.001591,accessible
21,21,0AlNRdW7x4DqB3PuVqVOpOnVbQ1PG9KM,2024-11-05 20:51:02.001591,50.585137,8.671877,0AlNRdW7x4DqB3PuVqVOpOnVbQ1PG9KM,0AlNRdW7x4DqB5KsVqw04dnVbQ1PG9KM,50.585137,8.671877,-1.0,-1.0,,trip
22,22,0AlNRdW7x4DqB5KsVqw04dnVbQ1PG9KM,2024-11-05 15:25:58.716826,50.585137,8.671877,0AlNRdW7x4DqB3PuVqVOpOnVbQ1PG9KM,0AlNRdW7x4DqB5KsVqw04dnVbQ1PG9KM,50.585137,8.671877,50.585137,8.671877,2024-11-05 20:51:02.001591,accessible
23,23,0AlNRdW7x4DqB5KsVqw04dnVbQ1PG9KM,2024-11-05 20:51:02.001591,50.585137,8.671877,0AlNRdW7x4DqB5KsVqw04dnVbQ1PG9KM,0AlNRdW7x4DqB5lCVqNzxOnVbQ1PG9KM,50.585137,8.671877,-1.0,-1.0,,trip
24,24,0AlNRdW7x4DqB5lCVqNzxOnVbQ1PG9KM,2024-11-05 15:25:58.716826,50.585716,8.657575,0AlNRdW7x4DqB5KsVqw04dnVbQ1PG9KM,0AlNRdW7x4DqB5lCVqNzxOnVbQ1PG9KM,50.585137,8.671877,50.585716,8.657575,2024-11-05 17:58:02.030517,accessible
25,25,0AlNRdW7x4DqB5lCVqNzxOnVbQ1PG9KM,2024-11-05 17:58:02.030517,50.585716,8.657575,0AlNRdW7x4DqB5lCVqNzxOnVbQ1PG9KM,0AlNRdW7x4DqBKvfVqGzlWnVbQ1PG9KM,50.585716,8.657575,-1.0,-1.0,,trip
26,26,0AlNRdW7x4DqBKvfVqGzlWnVbQ1PG9KM,2024-11-05 15:33:01.635724,50.585137,8.671877,0AlNRdW7x4DqB5lCVqNzxOnVbQ1PG9KM,0AlNRdW7x4DqBKvfVqGzlWnVbQ1PG9KM,50.585716,8.657575,50.585137,8.671877,2024-11-05 20:51:02.001591,accessible
27,27,0AlNRdW7x4DqBKvfVqGzlWnVbQ1PG9KM,2024-11-05 20:51:02.001591,50.585137,8.671877,0AlNRdW7x4DqBKvfVqGzlWnVbQ1PG9KM,0AlNRdW7x4DqBWBIVaLp5znVbQ1PG9KM,50.585137,8.671877,-1.0,-1.0,,trip
28,28,0AlNRdW7x4DqBWBIVaLp5znVbQ1PG9KM,2024-11-05 15:25:58.716826,50.592037,8.66542,0AlNRdW7x4DqBKvfVqGzlWnVbQ1PG9KM,0AlNRdW7x4DqBWBIVaLp5znVbQ1PG9KM,50.585137,8.671877,50.592037,8.66542,2024-11-05 20:51:02.001591,accessible
29,29,0AlNRdW7x4DqBWBIVaLp5znVbQ1PG9KM,2024-11-05 20:51:02.001591,50.592037,8.66542,0AlNRdW7x4DqBWBIVaLp5znVbQ1PG9KM,0AlNRdW7x4DqBajiVqMGqznVbQ1PG9KM,50.592037,8.66542,-1.0,-1.0,,trip
30,30,0AlNRdW7x4DqBajiVqMGqznVbQ1PG9KM,2024-11-05 15:25:58.716826,50.585137,8.671877,0AlNRdW7x4DqBWBIVaLp5znVbQ1PG9KM,0AlNRdW7x4DqBajiVqMGqznVbQ1PG9KM,50.592037,8.66542,50.585137,8.671877,2024-11-05 20:51:02.001591,accessible
31,31,0AlNRdW7x4DqBajiVqMGqznVbQ1PG9KM,2024-11-05 20:51:02.001591,50.585137,8.671877,0AlNRdW7x4DqBajiVqMGqznVbQ1PG9KM,0AlNRdW7x4DqBjOHVqGJVwnVbQ1PG9KM,50.585137,8.671877,-1.0,-1.0,,trip
32,32,0AlNRdW7x4DqBjOHVqGJVwnVbQ1PG9KM,2024-11-05 18:52:01.377033,50.579946,8.67848,0AlNRdW7x4DqBajiVqMGqznVbQ1PG9KM,0AlNRdW7x4DqBjOHVqGJVwnVbQ1PG9KM,50.585137,8.671877,50.579946,8.67848,2024-11-05 20:51:02.001591,accessible
33,33,0AlNRdW7x4DqBjOHVqGJVwnVbQ1PG9KM,2024-11-05 20:51:02.001591,50.579946,8.67848,0AlNRdW7x4DqBjOHVqGJVwnVbQ1PG9KM,0AlNRdW7x4DqEMNfVqM41rDVbQ1PG9KM,50.579946,8.67848,-1.0,-1.0,,trip
34,34,0AlNRdW7x4DqEMNfVqM41rDVbQ1PG9KM,2024-11-05 15:25:58.716826,50.587726,8.668395,0AlNRdW7x4DqBjOHVqGJVwnVbQ1PG9KM,0AlNRdW7x4DqEMNfVqM41rDVbQ1PG9KM,50.579946,8.67848,50.587726,8.668395,2024-11-05 20:51:02.001591,accessible
35,35,0AlNRdW7x4DqEMNfVqM41rDVbQ1PG9KM,2024-11-05 20:51:02.001591,50.587726,8.668395,0AlNRdW7x4DqEMNfVqM41rDVbQ1PG9KM,0AlNRdW7x4DqEMlIVqGl8jDVbQ1PG9KM,50.587726,8.668395,-1.0,-1.0,,trip
36,36,0AlNRdW7x4DqEMlIVqGl8jDVbQ1PG9KM,2024-11-05 15:25:58.716826,50.582722,8.673988,0AlNRdW7x4DqEMNfVqM41rDVbQ1PG9KM,0AlNRdW7x4DqEMlIVqGl8jDVbQ1PG9KM,50.587726,8.668395,50.582722,8.673988,2024-11-05 15:42:01.295345,accessible
