bike_number,start_latitude,start_longitude,start_time,end_latitude,end_longitude,end_time,duration,date,distance,segments
386063,50.564109,8.677573,2025-02-03T00:03:25,50.581435,8.696279,2025-02-03T00:25:42,1337.315616,2025-02-03,3314.8400000000006,"[[50.5641104, 8.6777644, '2025-02-03T00:03:25'], [50.5644554, 8.677376, '2025-02-03T00:03:40.733124894'], [50.5646543, 8.6778297, '2025-02-03T00:03:56.466249788'], [50.5648226, 8.6777362, '2025-02-03T00:04:12.199374682'], [50.5652081, 8.6775259, '2025-02-03T00:04:27.932499576'], [50.5652576, 8.6775039, '2025-02-03T00:04:43.665624471'], [50.5654365, 8.6774224, '2025-02-03T00:04:59.398749365'], [50.5655747, 8.6773652, '2025-02-03T00:05:15.131874259'], [50.5657675, 8.6772797, '2025-02-03T00:05:30.864999153'], [50.5665641, 8.6769437, '2025-02-03T00:05:46.598124047'], [50.5666904, 8.6768904, '2025-02-03T00:06:02.331248941'], [50.5679878, 8.6763623, '2025-02-03T00:06:18.064373835'], [50.568147, 8.6762945, '2025-02-03T00:06:33.797498729'], [50.5682293, 8.67626, '2025-02-03T00:06:49.530623623'], [50.5687826, 8.6760281, '2025-02-03T00:07:05.263748518'], [50.5690461, 8.6759269, '2025-02-03T00:07:20.996873412'], [50.5695424, 8.675718, '2025-02-03T00:07:36.729998306'], [50.5698503, 8.6756377, '2025-02-03T00:07:52.463123200'], [50.5702633, 8.6753283, '2025-02-03T00:08:08.196248094'], [50.570433, 8.6761456, '2025-02-03T00:08:23.929372988'], [50.5704697, 8.6763396, '2025-02-03T00:08:39.662497882'], [50.570515, 8.6765754, '2025-02-03T00:08:55.395622776'], [50.5708046, 8.6778189, '2025-02-03T00:09:11.128747671'], [50.5710572, 8.678307, '2025-02-03T00:09:26.861872565'], [50.571474, 8.6791054, '2025-02-03T00:09:42.594997459'], [50.5715506, 8.6792531, '2025-02-03T00:09:58.328122353'], [50.5717272, 8.6795868, '2025-02-03T00:10:14.061247247'], [50.5723685, 8.6806094, '2025-02-03T00:10:29.794372141'], [50.572828, 8.6807705, '2025-02-03T00:10:45.527497035'], [50.5727959, 8.6818741, '2025-02-03T00:11:01.260621928'], [50.5728766, 8.6823431, '2025-02-03T00:11:16.993746824'], [50.5730795, 8.6821907, '2025-02-03T00:11:32.726871718'], [50.5734504, 8.6819037, '2025-02-03T00:11:48.459996612'], [50.5738511, 8.6825921, '2025-02-03T00:12:04.193121506'], [50.5739511, 8.6828778, '2025-02-03T00:12:19.926246400'], [50.5741124, 8.6827453, '2025-02-03T00:12:35.659371294'], [50.574358, 8.6834928, '2025-02-03T00:12:51.392496188'], [50.5745099, 8.683954, '2025-02-03T00:13:07.125621082'], [50.5746923, 8.684237, '2025-02-03T00:13:22.858745976'], [50.5745994, 8.6843768, '2025-02-03T00:13:38.591870871'], [50.5745397, 8.6848736, '2025-02-03T00:13:54.324995765'], [50.5743362, 8.6851821, '2025-02-03T00:14:10.058120659'], [50.5741534, 8.6854972, '2025-02-03T00:14:25.791245553'], [50.5739876, 8.6858189, '2025-02-03T00:14:41.524370447'], [50.5738168, 8.6861568, '2025-02-03T00:14:57.257495341'], [50.5739703, 8.6863867, '2025-02-03T00:15:12.990620235'], [50.574054, 8.6865162, '2025-02-03T00:15:28.723745129'], [50.5744541, 8.6871864, '2025-02-03T00:15:44.456870024'], [50.5746468, 8.6874863, '2025-02-03T00:16:00.189994918'], [50.5748397, 8.6877916, '2025-02-03T00:16:15.923119812'], [50.575039, 8.6881172, '2025-02-03T00:16:31.656244706'], [50.5755551, 8.6889558, '2025-02-03T00:16:47.389369600'], [50.5760672, 8.6895947, '2025-02-03T00:17:03.122494494'], [50.5762007, 8.6897155, '2025-02-03T00:17:18.855619388'], [50.576027, 8.6903575, '2025-02-03T00:17:34.588744282'], [50.5761836, 8.6903455, '2025-02-03T00:17:50.321869176'], [50.5761875, 8.6904357, '2025-02-03T00:18:06.054994071'], [50.5761878, 8.6908583, '2025-02-03T00:18:21.788118965'], [50.5763367, 8.691103, '2025-02-03T00:18:37.521243859'], [50.5764794, 8.6911421, '2025-02-03T00:18:53.254368753'], [50.5765574, 8.691143, '2025-02-03T00:19:08.987493647'], [50.5766394, 8.6918211, '2025-02-03T00:19:24.720618541'], [50.576796, 8.6918205, '2025-02-03T00:19:40.453743435'], [50.5767933, 8.6919168, '2025-02-03T00:19:56.186868329'], [50.5770499, 8.692024, '2025-02-03T00:20:11.919993224'], [50.5771574, 8.6919997, '2025-02-03T00:20:27.653118118'], [50.5772356, 8.6924576, '2025-02-03T00:20:43.386243012'], [50.5773014, 8.6927449, '2025-02-03T00:20:59.119367906'], [50.577458, 8.6934055, '2025-02-03T00:21:14.852492800'], [50.577753, 8.6946883, '2025-02-03T00:21:30.585617694'], [50.5778549, 8.6949072, '2025-02-03T00:21:46.318742588'], [50.5780047, 8.6951484, '2025-02-03T00:22:02.051867482'], [50.5781557, 8.6949882, '2025-02-03T00:22:17.784992376'], [50.5782221, 8.694912, '2025-02-03T00:22:33.518117271'], [50.5783797, 8.6947396, '2025-02-03T00:22:49.251242165'], [50.5787615, 8.6943758, '2025-02-03T00:23:04.984367059'], [50.5788465, 8.6943045, '2025-02-03T00:23:20.717491953'], [50.580401, 8.6967824, '2025-02-03T00:23:36.450616847'], [50.5806039, 8.6963674, '2025-02-03T00:23:52.183741741'], [50.5810883, 8.6971157, '2025-02-03T00:24:07.916866635'], [50.5811217, 8.6971588, '2025-02-03T00:24:23.649991529'], [50.5811703, 8.6972143, '2025-02-03T00:24:39.383116424'], [50.5812802, 8.6969072, '2025-02-03T00:24:55.116241318'], [50.5813066, 8.6968359, '2025-02-03T00:25:10.849366212'], [50.5814887, 8.696352, '2025-02-03T00:25:26.582491106'], [50.5814097, 8.6962764, '2025-02-03T00:25:42.315616']]"
386052,50.564109,8.677573,2025-02-03T00:04:26,50.581435,8.696279,2025-02-03T00:25:42,1276.53321,2025-02-03,3314.8400000000006,"[[50.5641104, 8.6777644, '2025-02-03T00:04:26'], [50.5644554, 8.677376, '2025-02-03T00:04:41.018037765'], [50.5646543, 8.6778297, '2025-02-03T00:04:56.036075529'], [50.5648226, 8.6777362, '2025-02-03T00:05:11.054113294'], [50.5652081, 8.6775259, '2025-02-03T00:05:26.072151059'], [50.5652576, 8.6775039, '2025-02-03T00:05:41.090188824'], [50.5654365, 8.6774224, '2025-02-03T00:05:56.108226588'], [50.5655747, 8.6773652, '2025-02-03T00:06:11.126264353'], [50.5657675, 8.6772797, '2025-02-03T00:06:26.144302118'], [50.5665641, 8.6769437, '2025-02-03T00:06:41.162339882'], [50.5666904, 8.6768904, '2025-02-03T00:06:56.180377647'], [50.5679878, 8.6763623, '2025-02-03T00:07:11.198415412'], [50.568147, 8.6762945, '2025-02-03T00:07:26.216453176'], [50.5682293, 8.67626, '2025-02-03T00:07:41.234490941'], [50.5687826, 8.6760281, '2025-02-03T00:07:56.252528706'], [50.5690461, 8.6759269, '2025-02-03T00:08:11.270566471'], [50.5695424, 8.675718, '2025-02-03T00:08:26.288604235'], [50.5698503, 8.6756377, '2025-02-03T00:08:41.306642'], [50.5702633, 8.6753283, '2025-02-03T00:08:56.324679765'], [50.570433, 8.6761456, '2025-02-03T00:09:11.342717529'], [50.5704697, 8.6763396, '2025-02-03T00:09:26.360755294'], [50.570515, 8.6765754, '2025-02-03T00:09:41.378793059'], [50.5708046, 8.6778189, '2025-02-03T00:09:56.396830824'], [50.5710572, 8.678307, '2025-02-03T00:10:11.414868588'], [50.571474, 8.6791054, '2025-02-03T00:10:26.432906353'], [50.5715506, 8.6792531, '2025-02-03T00:10:41.450944118'], [50.5717272, 8.6795868, '2025-02-03T00:10:56.468981882'], [50.5723685, 8.6806094, '2025-02-03T00:11:11.487019647'], [50.572828, 8.6807705, '2025-02-03T00:11:26.505057412'], [50.5727959, 8.6818741, '2025-02-03T00:11:41.523095176'], [50.5728766, 8.6823431, '2025-02-03T00:11:56.541132941'], [50.5730795, 8.6821907, '2025-02-03T00:12:11.559170706'], [50.5734504, 8.6819037, '2025-02-03T00:12:26.577208471'], [50.5738511, 8.6825921, '2025-02-03T00:12:41.595246235'], [50.5739511, 8.6828778, '2025-02-03T00:12:56.613284'], [50.5741124, 8.6827453, '2025-02-03T00:13:11.631321765'], [50.574358, 8.6834928, '2025-02-03T00:13:26.649359529'], [50.5745099, 8.683954, '2025-02-03T00:13:41.667397294'], [50.5746923, 8.684237, '2025-02-03T00:13:56.685435059'], [50.5745994, 8.6843768, '2025-02-03T00:14:11.703472824'], [50.5745397, 8.6848736, '2025-02-03T00:14:26.721510588'], [50.5743362, 8.6851821, '2025-02-03T00:14:41.739548353'], [50.5741534, 8.6854972, '2025-02-03T00:14:56.757586118'], [50.5739876, 8.6858189, '2025-02-03T00:15:11.775623882'], [50.5738168, 8.6861568, '2025-02-03T00:15:26.793661647'], [50.5739703, 8.6863867, '2025-02-03T00:15:41.811699412'], [50.574054, 8.6865162, '2025-02-03T00:15:56.829737176'], [50.5744541, 8.6871864, '2025-02-03T00:16:11.847774941'], [50.5746468, 8.6874863, '2025-02-03T00:16:26.865812706'], [50.5748397, 8.6877916, '2025-02-03T00:16:41.883850471'], [50.575039, 8.6881172, '2025-02-03T00:16:56.901888235'], [50.5755551, 8.6889558, '2025-02-03T00:17:11.919926'], [50.5760672, 8.6895947, '2025-02-03T00:17:26.937963765'], [50.5762007, 8.6897155, '2025-02-03T00:17:41.956001529'], [50.576027, 8.6903575, '2025-02-03T00:17:56.974039294'], [50.5761836, 8.6903455, '2025-02-03T00:18:11.992077059'], [50.5761875, 8.6904357, '2025-02-03T00:18:27.010114824'], [50.5761878, 8.6908583, '2025-02-03T00:18:42.028152588'], [50.5763367, 8.691103, '2025-02-03T00:18:57.046190353'], [50.5764794, 8.6911421, '2025-02-03T00:19:12.064228118'], [50.5765574, 8.691143, '2025-02-03T00:19:27.082265882'], [50.5766394, 8.6918211, '2025-02-03T00:19:42.100303647'], [50.576796, 8.6918205, '2025-02-03T00:19:57.118341412'], [50.5767933, 8.6919168, '2025-02-03T00:20:12.136379176'], [50.5770499, 8.692024, '2025-02-03T00:20:27.154416941'], [50.5771574, 8.6919997, '2025-02-03T00:20:42.172454706'], [50.5772356, 8.6924576, '2025-02-03T00:20:57.190492471'], [50.5773014, 8.6927449, '2025-02-03T00:21:12.208530235'], [50.577458, 8.6934055, '2025-02-03T00:21:27.226568'], [50.577753, 8.6946883, '2025-02-03T00:21:42.244605765'], [50.5778549, 8.6949072, '2025-02-03T00:21:57.262643529'], [50.5780047, 8.6951484, '2025-02-03T00:22:12.280681294'], [50.5781557, 8.6949882, '2025-02-03T00:22:27.298719059'], [50.5782221, 8.694912, '2025-02-03T00:22:42.316756824'], [50.5783797, 8.6947396, '2025-02-03T00:22:57.334794588'], [50.5787615, 8.6943758, '2025-02-03T00:23:12.352832353'], [50.5788465, 8.6943045, '2025-02-03T00:23:27.370870118'], [50.580401, 8.6967824, '2025-02-03T00:23:42.388907882'], [50.5806039, 8.6963674, '2025-02-03T00:23:57.406945647'], [50.5810883, 8.6971157, '2025-02-03T00:24:12.424983412'], [50.5811217, 8.6971588, '2025-02-03T00:24:27.443021176'], [50.5811703, 8.6972143, '2025-02-03T00:24:42.461058941'], [50.5812802, 8.6969072, '2025-02-03T00:24:57.479096706'], [50.5813066, 8.6968359, '2025-02-03T00:25:12.497134471'], [50.5814887, 8.696352, '2025-02-03T00:25:27.515172235'], [50.5814097, 8.6962764, '2025-02-03T00:25:42.533209999']]"
386049,50.58453,8.680142,2025-02-03T00:09:29,50.585137,8.671877,2025-02-03T00:14:33,303.761867,2025-02-03,841.0949999999998,"[[50.5844574, 8.6802382, '2025-02-03T00:09:29'], [50.5843851, 8.6800729, '2025-02-03T00:09:42.207037696'], [50.5845542, 8.679455, '2025-02-03T00:09:55.414075391'], [50.5846631, 8.6792155, '2025-02-03T00:10:08.621113087'], [50.584703, 8.679125, '2025-02-03T00:10:21.828150783'], [50.5840833, 8.6783053, '2025-02-03T00:10:35.035188478'], [50.584547, 8.6777738, '2025-02-03T00:10:48.242226174'], [50.5846823, 8.6776249, '2025-02-03T00:11:01.449263870'], [50.5847788, 8.6775196, '2025-02-03T00:11:14.656301565'], [50.5849701, 8.6773071, '2025-02-03T00:11:27.863339261'], [50.5847823, 8.6770899, '2025-02-03T00:11:41.070376957'], [50.5848877, 8.676589, '2025-02-03T00:11:54.277414652'], [50.5849614, 8.6761298, '2025-02-03T00:12:07.484452348'], [50.5850044, 8.6758527, '2025-02-03T00:12:20.691490043'], [50.5850704, 8.6753049, '2025-02-03T00:12:33.898527739'], [50.5850804, 8.6751558, '2025-02-03T00:12:47.105565435'], [50.5850767, 8.6749411, '2025-02-03T00:13:00.312603130'], [50.5850595, 8.6742324, '2025-02-03T00:13:13.519640825'], [50.5850971, 8.6737343, '2025-02-03T00:13:26.726678522'], [50.5851279, 8.6732111, '2025-02-03T00:13:39.933716217'], [50.5843352, 8.6722414, '2025-02-03T00:13:53.140753913'], [50.5847366, 8.6718143, '2025-02-03T00:14:06.347791609'], [50.5849066, 8.6715423, '2025-02-03T00:14:19.554829304'], [50.5850526, 8.6718473, '2025-02-03T00:14:32.761867']]"
91296,50.582404,8.670933,2025-02-03T00:12:32,50.581759,8.670118,2025-02-03T00:13:32,60.753495,2025-02-03,249.398,"[[50.5822409, 8.6705565, '2025-02-03T00:12:32'], [50.5822685, 8.6705084, '2025-02-03T00:12:39.594186875'], [50.5820813, 8.6702388, '2025-02-03T00:12:47.188373750'], [50.5820088, 8.6700682, '2025-02-03T00:12:54.782560625'], [50.581829, 8.6698466, '2025-02-03T00:13:02.376747500'], [50.5815249, 8.6694719, '2025-02-03T00:13:09.970934375'], [50.5812435, 8.6691226, '2025-02-03T00:13:17.565121250'], [50.5811967, 8.6692149, '2025-02-03T00:13:25.159308125'], [50.5817988, 8.6699706, '2025-02-03T00:13:32.753495']]"
386301,50.576216,8.69397,2025-02-03T00:16:35,50.581759,8.670118,2025-02-03T00:24:41,486.538411,2025-02-03,2204.9150000000004,"[[50.5762981, 8.6938047, '2025-02-03T00:16:35'], [50.5760435, 8.6938011, '2025-02-03T00:16:48.514955861'], [50.5758223, 8.6934913, '2025-02-03T00:17:02.029911722'], [50.5757973, 8.6932786, '2025-02-03T00:17:15.544867583'], [50.5758675, 8.6929515, '2025-02-03T00:17:29.059823444'], [50.5758732, 8.6925595, '2025-02-03T00:17:42.574779306'], [50.5758739, 8.6923151, '2025-02-03T00:17:56.089735167'], [50.5758739, 8.6920665, '2025-02-03T00:18:09.604691028'], [50.5758769, 8.691915, '2025-02-03T00:18:23.119646889'], [50.5757526, 8.6918254, '2025-02-03T00:18:36.634602750'], [50.5757318, 8.6914771, '2025-02-03T00:18:50.149558611'], [50.576027, 8.6903575, '2025-02-03T00:19:03.664514472'], [50.5762007, 8.6897155, '2025-02-03T00:19:17.179470333'], [50.5764627, 8.6888946, '2025-02-03T00:19:30.694426194'], [50.5769575, 8.687413, '2025-02-03T00:19:44.209382056'], [50.5786238, 8.6832385, '2025-02-03T00:19:57.724337917'], [50.5781122, 8.681622, '2025-02-03T00:20:11.239293778'], [50.5779382, 8.6807034, '2025-02-03T00:20:24.754249639'], [50.5781464, 8.6805312, '2025-02-03T00:20:38.269205500'], [50.5784445, 8.6804352, '2025-02-03T00:20:51.784161361'], [50.5782886, 8.680059, '2025-02-03T00:21:05.299117222'], [50.5782773, 8.6800001, '2025-02-03T00:21:18.814073083'], [50.5782345, 8.679844, '2025-02-03T00:21:32.329028944'], [50.5779667, 8.6776055, '2025-02-03T00:21:45.843984806'], [50.5784057, 8.6757327, '2025-02-03T00:21:59.358940667'], [50.5789475, 8.6750693, '2025-02-03T00:22:12.873896528'], [50.5794294, 8.6745002, '2025-02-03T00:22:26.388852389'], [50.5795916, 8.6743144, '2025-02-03T00:22:39.903808250'], [50.5792189, 8.6735634, '2025-02-03T00:22:53.418764111'], [50.5794665, 8.6730203, '2025-02-03T00:23:06.933719972'], [50.5797115, 8.6724184, '2025-02-03T00:23:20.448675833'], [50.5801109, 8.6714175, '2025-02-03T00:23:33.963631694'], [50.5804891, 8.6706405, '2025-02-03T00:23:47.478587556'], [50.5805278, 8.670561, '2025-02-03T00:24:00.993543417'], [50.5810061, 8.6695933, '2025-02-03T00:24:14.508499278'], [50.5811967, 8.6692149, '2025-02-03T00:24:28.023455139'], [50.5817988, 8.6699706, '2025-02-03T00:24:41.538411']]"
386034,50.564109,8.677573,2025-02-03T00:28:44,50.579946,8.67848,2025-02-03T01:09:17,2432.80078,2025-02-03,2198.2799999999997,"[[50.5641104, 8.6777644, '2025-02-03T00:28:44'], [50.5644554, 8.677376, '2025-02-03T00:29:36.886973478'], [50.5646543, 8.6778297, '2025-02-03T00:30:29.773946957'], [50.5648226, 8.6777362, '2025-02-03T00:31:22.660920435'], [50.5652081, 8.6775259, '2025-02-03T00:32:15.547893913'], [50.5652576, 8.6775039, '2025-02-03T00:33:08.434867391'], [50.5654365, 8.6774224, '2025-02-03T00:34:01.321840870'], [50.5655747, 8.6773652, '2025-02-03T00:34:54.208814348'], [50.5657675, 8.6772797, '2025-02-03T00:35:47.095787826'], [50.5665641, 8.6769437, '2025-02-03T00:36:39.982761304'], [50.5666904, 8.6768904, '2025-02-03T00:37:32.869734783'], [50.5679878, 8.6763623, '2025-02-03T00:38:25.756708261'], [50.568147, 8.6762945, '2025-02-03T00:39:18.643681739'], [50.5682293, 8.67626, '2025-02-03T00:40:11.530655216'], [50.5687826, 8.6760281, '2025-02-03T00:41:04.417628696'], [50.5690461, 8.6759269, '2025-02-03T00:41:57.304602174'], [50.5695424, 8.675718, '2025-02-03T00:42:50.191575652'], [50.5698503, 8.6756377, '2025-02-03T00:43:43.078549130'], [50.5702633, 8.6753283, '2025-02-03T00:44:35.965522609'], [50.5707632, 8.6750089, '2025-02-03T00:45:28.852496087'], [50.5708953, 8.6749198, '2025-02-03T00:46:21.739469565'], [50.5715946, 8.6753288, '2025-02-03T00:47:14.626443043'], [50.572348, 8.6759926, '2025-02-03T00:48:07.513416522'], [50.5726806, 8.6762106, '2025-02-03T00:49:00.400390'], [50.5733049, 8.6773183, '2025-02-03T00:49:53.287363478'], [50.5740207, 8.6776203, '2025-02-03T00:50:46.174336957'], [50.574501, 8.6766597, '2025-02-03T00:51:39.061310435'], [50.5746772, 8.6768856, '2025-02-03T00:52:31.948283913'], [50.5753613, 8.677799, '2025-02-03T00:53:24.835257391'], [50.57573, 8.6782892, '2025-02-03T00:54:17.722230870'], [50.5758148, 8.6783891, '2025-02-03T00:55:10.609204348'], [50.5760879, 8.6786648, '2025-02-03T00:56:03.496177826'], [50.5764677, 8.6790252, '2025-02-03T00:56:56.383151304'], [50.5770407, 8.6795942, '2025-02-03T00:57:49.270124783'], [50.5771154, 8.6796681, '2025-02-03T00:58:42.157098261'], [50.5772119, 8.6797605, '2025-02-03T00:59:35.044071739'], [50.5772331, 8.6797818, '2025-02-03T01:00:27.931045217'], [50.5773853, 8.6799337, '2025-02-03T01:01:20.818018696'], [50.5778107, 8.6803512, '2025-02-03T01:02:13.704992174'], [50.5779382, 8.6807034, '2025-02-03T01:03:06.591965652'], [50.5781464, 8.6805312, '2025-02-03T01:03:59.478939130'], [50.5784445, 8.6804352, '2025-02-03T01:04:52.365912609'], [50.5792219, 8.6801704, '2025-02-03T01:05:45.252886086'], [50.5794303, 8.680098, '2025-02-03T01:06:38.139859565'], [50.579536, 8.6800613, '2025-02-03T01:07:31.026833043'], [50.5803853, 8.6797581, '2025-02-03T01:08:23.913806522'], [50.5798525, 8.6786714, '2025-02-03T01:09:16.800780']]"
91091,50.579946,8.67848,2025-02-03T00:31:47,50.581178,8.673181,2025-02-03T00:32:47,60.772471,2025-02-03,633.5269999999999,"[[50.5798525, 8.6786714, '2025-02-03T00:31:47'], [50.5797714, 8.6784985, '2025-02-03T00:31:49.532186292'], [50.5800166, 8.678192, '2025-02-03T00:31:52.064372583'], [50.5800834, 8.6781062, '2025-02-03T00:31:54.596558875'], [50.5800026, 8.6779503, '2025-02-03T00:31:57.128745167'], [50.5802586, 8.6776509, '2025-02-03T00:31:59.660931458'], [50.5800835, 8.6771226, '2025-02-03T00:32:02.193117750'], [50.5800144, 8.6769545, '2025-02-03T00:32:04.725304042'], [50.5805554, 8.6762903, '2025-02-03T00:32:07.257490333'], [50.5804408, 8.6760568, '2025-02-03T00:32:09.789676625'], [50.5804042, 8.6759812, '2025-02-03T00:32:12.321862917'], [50.5803886, 8.675949, '2025-02-03T00:32:14.854049208'], [50.5802853, 8.6757353, '2025-02-03T00:32:17.386235500'], [50.5801972, 8.6755532, '2025-02-03T00:32:19.918421792'], [50.5801825, 8.6755228, '2025-02-03T00:32:22.450608083'], [50.5801706, 8.6754981, '2025-02-03T00:32:24.982794375'], [50.5799628, 8.6750686, '2025-02-03T00:32:27.514980667'], [50.5795916, 8.6743144, '2025-02-03T00:32:30.047166958'], [50.5799841, 8.6738369, '2025-02-03T00:32:32.579353250'], [50.580224, 8.6735432, '2025-02-03T00:32:35.111539542'], [50.5802762, 8.6734797, '2025-02-03T00:32:37.643725833'], [50.5804222, 8.6732939, '2025-02-03T00:32:40.175912125'], [50.5806733, 8.6729494, '2025-02-03T00:32:42.708098417'], [50.5808945, 8.6726337, '2025-02-03T00:32:45.240284708'], [50.5809994, 8.6729035, '2025-02-03T00:32:47.772471']]"
91091,50.581178,8.673181,2025-02-03T00:32:47,50.579351,8.678126,2025-02-03T00:33:50,62.119751,2025-02-03,568.663,"[[50.5809994, 8.6729035, '2025-02-03T00:32:47'], [50.5808945, 8.6726337, '2025-02-03T00:32:50.105987550'], [50.5806733, 8.6729494, '2025-02-03T00:32:53.211975100'], [50.5804222, 8.6732939, '2025-02-03T00:32:56.317962650'], [50.5802762, 8.6734797, '2025-02-03T00:32:59.423950200'], [50.580224, 8.6735432, '2025-02-03T00:33:02.529937750'], [50.5799841, 8.6738369, '2025-02-03T00:33:05.635925300'], [50.5795916, 8.6743144, '2025-02-03T00:33:08.741912850'], [50.5799628, 8.6750686, '2025-02-03T00:33:11.847900400'], [50.5801706, 8.6754981, '2025-02-03T00:33:14.953887950'], [50.5801825, 8.6755228, '2025-02-03T00:33:18.059875500'], [50.5801972, 8.6755532, '2025-02-03T00:33:21.165863050'], [50.5802853, 8.6757353, '2025-02-03T00:33:24.271850600'], [50.5803886, 8.675949, '2025-02-03T00:33:27.377838150'], [50.5804042, 8.6759812, '2025-02-03T00:33:30.483825700'], [50.5804408, 8.6760568, '2025-02-03T00:33:33.589813250'], [50.5805554, 8.6762903, '2025-02-03T00:33:36.695800800'], [50.5800144, 8.6769545, '2025-02-03T00:33:39.801788350'], [50.5799191, 8.677063, '2025-02-03T00:33:42.907775900'], [50.5793998, 8.6777184, '2025-02-03T00:33:46.013763450'], [50.5793095, 8.6778752, '2025-02-03T00:33:49.119751']]"
91091,50.579351,8.678126,2025-02-03T00:35:51,50.579946,8.67848,2025-02-03T00:36:52,60.771596,2025-02-03,393.039,"[[50.5793095, 8.6778752, '2025-02-03T00:35:51'], [50.5789631, 8.6785921, '2025-02-03T00:36:03.154319200'], [50.5788859, 8.6787557, '2025-02-03T00:36:15.308638400'], [50.579536, 8.6800613, '2025-02-03T00:36:27.462957600'], [50.5803853, 8.6797581, '2025-02-03T00:36:39.617276800'], [50.5798525, 8.6786714, '2025-02-03T00:36:51.771596']]"
386157,50.58453,8.680142,2025-02-03T02:03:59,50.588102,8.677491,2025-02-03T02:08:04,245.662761,2025-02-03,671.6399999999999,"[[50.5844574, 8.6802382, '2025-02-03T02:03:59'], [50.584807, 8.6805134, '2025-02-03T02:04:10.166489136'], [50.5848552, 8.6803698, '2025-02-03T02:04:21.332978273'], [50.5850497, 8.6804936, '2025-02-03T02:04:32.499467409'], [50.5852965, 8.6798821, '2025-02-03T02:04:43.665956545'], [50.5856715, 8.6802689, '2025-02-03T02:04:54.832445682'], [50.5859205, 8.6805356, '2025-02-03T02:05:05.998934818'], [50.5860083, 8.6806289, '2025-02-03T02:05:17.165423955'], [50.5861178, 8.6807505, '2025-02-03T02:05:28.331913091'], [50.5863172, 8.6809764, '2025-02-03T02:05:39.498402227'], [50.5865373, 8.6811759, '2025-02-03T02:05:50.664891364'], [50.5866231, 8.6809384, '2025-02-03T02:06:01.831380500'], [50.5865989, 8.6804736, '2025-02-03T02:06:12.997869636'], [50.5868061, 8.6802287, '2025-02-03T02:06:24.164358773'], [50.5869463, 8.6802197, '2025-02-03T02:06:35.330847909'], [50.587237, 8.6799975, '2025-02-03T02:06:46.497337045'], [50.5872149, 8.6793603, '2025-02-03T02:06:57.663826182'], [50.5872833, 8.6793545, '2025-02-03T02:07:08.830315318'], [50.5872487, 8.6789401, '2025-02-03T02:07:19.996804455'], [50.5873411, 8.6788415, '2025-02-03T02:07:31.163293591'], [50.5875384, 8.6781037, '2025-02-03T02:07:42.329782727'], [50.5877558, 8.6779083, '2025-02-03T02:07:53.496271864'], [50.587906, 8.6777836, '2025-02-03T02:08:04.662761']]"
